year,city,price_per_sqft
2010,DUVALL,163.88620277140396
2011,DUVALL,143.06720055008893
2012,DUVALL,149.5551330544947
2013,DUVALL,171.33509259871556
2014,DUVALL,193.91024432317187
2015,DUVALL,207.10341710065822
2016,DUVALL,229.3192283119636
2017,DUVALL,265.1776862485935
2018,DUVALL,272.78221087799443
2019,DUVALL,275.53494924220587
2020,DUVALL,299.77443572745676
2021,DUVALL,375.96904709736623
2022,DUVALL,458.78433167643885
2023,DUVALL,420.197242767126
2000,ENUMCLAW,108.65200948504466
2001,ENUMCLAW,116.09893957871452
2002,ENUMCLAW,123.36955162630566
2003,ENUMCLAW,128.18871536151502
2004,ENUMCLAW,143.50013307364415
2005,ENUMCLAW,171.10187175297602
2006,ENUMCLAW,187.58752315528272
2007,ENUMCLAW,200.50370182890154
2008,ENUMCLAW,183.71798455080364
2009,ENUMCLAW,168.95240760606333
2010,ENUMCLAW,146.98058635280378
2011,ENUMCLAW,135.48686541147464
2012,ENUMCLAW,120.98449028452268
2013,ENUMCLAW,153.36435462194274
2014,ENUMCLAW,162.59287281949312
2015,ENUMCLAW,170.88064461348642
2016,ENUMCLAW,192.9633309134443
2017,ENUMCLAW,213.5318471068996
2018,ENUMCLAW,230.96879193001448
2019,ENUMCLAW,216.1772481850364
2020,ENUMCLAW,240.99921938014828
2021,ENUMCLAW,311.89946782316525
2022,ENUMCLAW,343.3021680040793
2023,ENUMCLAW,335.9888009738222
2000,FEDERAL WAY,107.74881392243982
2001,FEDERAL WAY,115.52058209837793
2002,FEDERAL WAY,119.29842830660293
2003,FEDERAL WAY,124.58937668999694
2004,FEDERAL WAY,138.7785279508098
2005,FEDERAL WAY,157.04742181928165
2006,FEDERAL WAY,178.06587927811242
2007,FEDERAL WAY,189.20114512946634
2008,FEDERAL WAY,173.45387283366432
2009,FEDERAL WAY,151.12343509608357
2010,FEDERAL WAY,137.47237252328438
2011,FEDERAL WAY,125.42592276900679
2012,FEDERAL WAY,128.8961422816436
2013,FEDERAL WAY,137.0385934000873
2014,FEDERAL WAY,144.13535941507476
2015,FEDERAL WAY,159.51078225350437
2016,FEDERAL WAY,174.27017658068857
2017,FEDERAL WAY,196.8514858229366
2018,FEDERAL WAY,215.42315891534494
2019,FEDERAL WAY,222.33577103881316
2020,FEDERAL WAY,254.48282296479496
2021,FEDERAL WAY,302.5760047283004
2022,FEDERAL WAY,338.049633661848
2023,FEDERAL WAY,334.4914216946413
2000,HUNTS POINT,432.06443721269085
2001,HUNTS POINT,450.22348778246624
2002,HUNTS POINT,207.86614790471666
2003,HUNTS POINT,397.5987689919214
2004,HUNTS POINT,208.52969367786253
2005,HUNTS POINT,540.0019147151728
2006,HUNTS POINT,708.8293275273808
2007,HUNTS POINT,400.5641060755551
2008,HUNTS POINT,551.2128316161835
2010,HUNTS POINT,664.596818451982
2011,HUNTS POINT,863.705431902185
2012,HUNTS POINT,1348.3558770888046
2013,HUNTS POINT,1217.4900496978355
2014,HUNTS POINT,740.6142612692748
2015,HUNTS POINT,1258.0071317633992
2016,HUNTS POINT,1005.9861978619734
2017,HUNTS POINT,1002.5655074004901
2018,HUNTS POINT,1408.7318175244252
2019,HUNTS POINT,987.181971174332
2020,HUNTS POINT,1454.8361323418414
2021,HUNTS POINT,2500.910882247325
2022,HUNTS POINT,1833.9979655722523
2023,HUNTS POINT,1634.589696884779
2000,ISSAQUAH,150.80390756435975
2001,ISSAQUAH,163.2414214545663
2002,ISSAQUAH,168.53084714626496
2003,ISSAQUAH,176.16112695842688
2004,ISSAQUAH,188.39138423693714
2005,ISSAQUAH,213.89475498689546
2006,ISSAQUAH,246.28533317541232
2007,ISSAQUAH,261.20957953438176
2008,ISSAQUAH,250.81610803439563
2009,ISSAQUAH,224.1861224278877
2010,ISSAQUAH,218.02949093007186
2011,ISSAQUAH,209.0298145638599
2012,ISSAQUAH,215.90842651510062
2013,ISSAQUAH,244.6132271169833
2014,ISSAQUAH,261.96393313187434
2015,ISSAQUAH,291.64918231185663
2016,ISSAQUAH,318.50879037797654
2017,ISSAQUAH,359.829890422679
2018,ISSAQUAH,398.10620807096575
2019,ISSAQUAH,382.0560518930829
2020,ISSAQUAH,422.0430611930333
2021,ISSAQUAH,541.9305816030243
2022,ISSAQUAH,621.2841155294325
2023,ISSAQUAH,584.2048180852157
2000,KENMORE,131.5846858500232
2001,KENMORE,137.5570167317152
2002,KENMORE,145.1460650764284
2003,KENMORE,154.81995986647436
2004,KENMORE,169.42518413459044
2005,KENMORE,188.7793324030601
2006,KENMORE,224.9511875658756
2007,KENMORE,239.86837451533492
2008,KENMORE,218.8823203043735
2009,KENMORE,194.37240243256124
2010,KENMORE,186.53004948711987
2011,KENMORE,176.60601824098205
2012,KENMORE,177.91519192737942
2013,KENMORE,199.03713644004569
2014,KENMORE,224.17902859307182
2015,KENMORE,237.1209790909424
2016,KENMORE,262.13157276227827
2017,KENMORE,298.98295473595357
2018,KENMORE,332.8662148838664
2019,KENMORE,344.02058464815246
2020,KENMORE,378.08666528682943
2021,KENMORE,462.9779219875401
2022,KENMORE,525.8025095556997
2023,KENMORE,488.63008905856833
2000,KENT,111.89523134601464
2001,KENT,118.54181277334833
2002,KENT,121.5899217525969
2003,KENT,127.87757552353332
2004,KENT,138.49378419792916
2005,KENT,160.60379533736725
2006,KENT,184.36396177634686
2007,KENT,191.00227550649757
2008,KENT,174.35726229463035
2009,KENT,155.0159628849459
2010,KENT,140.36664331350158
2011,KENT,124.55518349786553
2012,KENT,128.72469469824708
2013,KENT,141.08610901209536
2014,KENT,154.7835108137067
2015,KENT,167.29006196661686
2016,KENT,186.8604200413077
2017,KENT,206.84695495927008
2018,KENT,226.29084776884446
2019,KENT,234.48074766567964
2020,KENT,258.3033696392473
2021,KENT,312.56891746685176
2022,KENT,350.1462879815157
2023,KENT,341.49769103948023
2000,KING COUNTY,138.17062591382944
2001,KING COUNTY,144.95541385370532
2002,KING COUNTY,151.89354828791872
2003,KING COUNTY,161.65297556398681
2004,KING COUNTY,173.73603170574268
2005,KING COUNTY,206.2169129835065
2006,KING COUNTY,234.7108320283422
2007,KING COUNTY,253.9695269270643
2008,KING COUNTY,238.58050446599057
2009,KING COUNTY,207.96481440259282
2010,KING COUNTY,206.15138781130253
2011,KING COUNTY,194.49798485448895
2012,KING COUNTY,187.4306879780101
2013,KING COUNTY,205.48243318194636
2014,KING COUNTY,215.98860548767163
2015,KING COUNTY,227.61321317086137
2016,KING COUNTY,259.7418151606207
2017,KING COUNTY,289.40233985481063
2018,KING COUNTY,313.88429475051703
2019,KING COUNTY,320.56928591673386
2020,KING COUNTY,357.054144668568
